semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1112,D8963,資應菁英班四甲,資訊實務專題（一）,(0000),必,1,3,星期六,3,2,廖士寬,1
1112,D8964,資應菁英班四甲,資訊實務專題（一）,(0000),必,1,3,星期六,3,2,柯志坤,1
1112,D3515,老服四Ａ,長照政策與法規,(R405),必,5,6,星期一,2,2,李卓倫,3
1112,D3512,老服四Ａ,照顧機構財務管理,(R308),選,7,8,星期一,2,2,楊栢勳,3
1112,D3516,老服四Ａ,長照機構品質與評鑑,(R405),必,3,4,星期一,2,2,梁亞文,3
1112,D3539,美容四Ａ,整體造型設計,(R105),必,2,4,星期一,3,3,林洹瑜,3
1112,D3534,美容四Ａ,美容抗老化科學,(T201),選,5,6,星期一,2,2,高而仕,3
1112,D3600,企管四Ａ,策略管理,(7417),必,5,7,星期一,3,3,劉朝清,3
1112,D3598,企管四Ａ,顧客關係管理,(7417),選,2,4,星期一,3,3,陳雅玲,3
1112,D3674,會資四Ａ,內部稽核與公司治理 (另併２班),(7401),選,2,4,星期一,3,3,呂學典謝居倫,3
1112,D3679,會資四Ａ,會計審計法規 (另併２班),(7403),選,5,7,星期一,3,3,施靜慧,3
1112,D3752,資管四Ａ,雲端服務技術,(2603),選,2,4,星期一,3,3,林文彥,3
1112,D3838,英語四Ａ,進階會議英文與演練,(3409),選,7,8,星期一,2,2,梁彩玲,3
1112,D3860,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,周殷菀,3
1112,D8871,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,林文彥,3
1112,D8872,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,林真伊,3
1112,D8873,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,3
1112,D8874,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,3
1112,D8875,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,連俊瑋,3
1112,D8876,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,陳大仁,3
1112,D8877,資應菁英班四Ａ,產業專業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,3
